week,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
3,9769358,9822654,Trash Pandas (TP),Total System Control (TSC),0,0
3,9822655,9822641,Not Anyone Can Frag (NCF),I Remember Cal (IRC),-3,5
4,9822638,9769356,Ript Gaming (RG),WAIFU (WAF),13,7
4,9822638,9769354,Ript Gaming (RG),RFA (RFA),13,9
4,9769358,9769354,Trash Pandas (TP),RFA (RFA),0,0
4,9822637,9823963,Nox Nieman (NOX),Sussy Baka (SSB),0,0
4,9822641,9822639,I Remember Cal (IRC),Plebmobile (PLE),,
4,9769365,9769358,Frands (FRA),Trash Pandas (TP),0,0
4,9822656,9769354,Fake Flashers (FF),RFA (RFA),13,1
4,9769352,9822641,Brain Bots (BRB),I Remember Cal (IRC),13,3
4,9822655,9822656,Not Anyone Can Frag (NCF),Fake Flashers (FF),4,13
4,9822637,9822655,Nox Nieman (NOX),Not Anyone Can Frag (NCF),14,12
4,9822637,9769356,Nox Nieman (NOX),WAIFU (WAF),13,6
4,9769352,9769365,Brain Bots (BRB),Frands (FRA),13,6
4,9769355,9822636,Collective Chaos (CC),Teen Titans (TT),4,13
4,9769355,9769353,Collective Chaos (CC),You Know The Vibes (YKV),13,9
4,9822639,9822654,Plebmobile (PLE),Total System Control (TSC),7,13
4,9769353,9822640,You Know The Vibes (YKV),Bona Fide (BF),13,7
4,9822636,9822640,Teen Titans (TT),Bona Fide (BF),14,16
4,9823963,9822656,Sussy Baka (SSB),Fake Flashers (FF),-3,5
4,9822655,9822654,Not Anyone Can Frag (NCF),Total System Control (TSC),,
5,9822641,9822638,I Remember Cal (IRC),Ript Gaming (RG),0,13
5,9822654,9823963,Total System Control (TSC),Sussy Baka (SSB),5,-3
5,9822636,9769358,Teen Titans (TT),Trash Pandas (TP),0,0
5,9769358,9769365,Trash Pandas (TP),Frands (FRA),0,0
5,9823963,9822636,Sussy Baka (SSB),Teen Titans (TT),0,0
